,V1 (MA5激进),V2 (MA10稳健),V3 (布林震荡),V4 (增强趋势)
2025-01,-0.7442210159500006,-0.6378875818999986,0.2574862964499988,-0.7581041256999997
2025-02,3.5481211606421867,3.6431498593715985,1.3022170937282433,2.6954604068056085
2025-03,-0.7780070686905665,-1.0470763911588037,0.0,-0.6251641118506449
2025-04,-0.6473652737922644,-0.6824873866155226,1.3659962379731592,-1.2266769660951047
2025-05,0.1688787578220154,0.02527471938092456,-0.05827739163169694,-0.018900529797127287
2025-06,-0.24150537126538216,0.2861737711423013,0.7956941195569762,-0.12680280999737983
2025-07,1.5864007802280802,2.224556093767564,0.37694750539348504,1.675450250139481
2025-08,2.9870759228065173,5.4608315602292565,0.33087021443558884,4.959007710000703
2025-09,3.473336719915931,3.4654843265582245,0.36208001288509783,3.4353391560864126
2025-10,-2.6539738773107295,-3.4086973209294897,0.01410740587112208,-3.79710944902795
2025-11,-0.21033182453230795,-0.17453892156745446,-0.5303193991474162,-0.13898058530288646
2025-12,-0.7271677359259441,-0.19308938610564655,0.4720311045414075,-0.9046980914148566
