,V3 (布林震荡),V4 (增强趋势)
2025-01,0.2574862964499988,-0.7581041256999997
2025-02,1.3022170937282433,2.6954604068056085
2025-03,0.0,-0.6251641118506449
2025-04,1.3659962379731592,-1.2266769660951047
2025-05,-0.05827739163169694,-0.018900529797127287
2025-06,0.7956941195569762,-0.12680280999737983
2025-07,0.37694750539348504,1.675450250139481
2025-08,0.33087021443558884,4.959007710000703
2025-09,0.36208001288509783,3.4353391560864126
2025-10,0.01410740587112208,-3.79710944902795
2025-11,-0.5303193991474162,-0.13898058530288646
2025-12,0.4720311045414075,-0.9046980914148566
